idx;date;rubro;subrubro;detalle;BANCIEN S.A;BANCAMIA;BANCO W S.A.;BANCOOMEVA;BANCO FALABELLA S.A.;BANCO PICHINCHA S.A.;BANCO MUNDO MUJER S.A.;LULO BANK S.A.
70;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;ACTIVOS NO CORRIENTES MANTENIDOS PARA LA VENTA;0;0;0;1751.88;0;1009.3;0;0
71;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;BIENES RECIBIDOS EN PAGO;0;0;0;12610.41;0;2221.37;0;0
72;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;BIENES RESTITUIDOS DE CONTRATOS DE LEASING;0;0;0;0;0;106.42;0;0
73;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;OPERACIONES DISCONTINUADAS;0;0;0;0;0;0;0;0
74;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;ACTIVOS NO CORRIENTES MANTENIDOS PARA DISTRIBUIR A LOS PROPIETARIOS;0;0;0;0;0;0;0;0
75;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;OTROS ACTIVOS NO CORRIENTES MANTENIDOS PARA LA VENTA;0;0;0;0;0;0;0;0
76;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;DETERIORO ACTIVOS NO CORRIENTES MANTENIDOS PARA LA VENTA;0;0;0;10858.53;0;1318.49;0;0
77;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;ACTIVOS MATERIALES;0;77801.68;46403.28;40285.74;56073.82;101316.17;87545.51;6318.71
78;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;PROPIEDAD, PLANTA Y EQUIPO;0;63334.47;16194.25;6317.01;24812.44;99026.52;18732.64;2387.95
79;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;PROPIEDAD, PLANTA Y EQUIPO POR DERECHOS DE USO;0;11342.7;29864.25;33968.73;27513.63;2289.65;62792.37;1684.57
80;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;PROPIEDADES Y EQUIPO EN ARRENDAMIENTO OPERATIVO;0;0;0;0;0;0;0;0
